Titik,Latitude,Longitude,Total_Pend_Motor_Tahun,Total_Pend_Mobil_Tahun,Klasifikasi_Motor,Tarif_Dasar_Motor,Klasifikasi_Mobil,Tarif_Dasar_Mobil
Rabbani,-7.42712607131495,109.24068374907463,365678000.0,29068000.0,Tinggi,3000,Tinggi,5000
Bannana Bakery,-7.426659838545791,109.2379655441395,150147000.0,52052000.0,Sedang,2000,Tinggi,5000
Sinar Abadi,-7.42778701053794,109.24144896626858,89443000.0,15548000.0,Rendah,1000,Sedang,4000
Toko Wijaya,-7.421817882989489,109.253743504037,143623000.0,14196000.0,Sedang,2000,Sedang,4000
Toko Laris Manis,-7.422519096194485,109.22767216150648,145733000.0,16900000.0,Sedang,2000,Tinggi,5000
Panda Aluminium,-7.427926888216332,109.24107434907464,333908000.0,27716000.0,Tinggi,3000,Tinggi,5000
Laris 2,-7.426668302462813,109.22621714693328,29976000.0,10816000.0,Rendah,1000,Sedang,4000
Panda 2,-7.428125443497244,109.24082679325372,279558000.0,20280000.0,Tinggi,3000,Tinggi,5000
Olimpiade,-7.427805249348038,109.24154364907466,183955000.0,31772000.0,Sedang,2000,Tinggi,5000
Gema Electrik,-7.4274393879389935,109.24192639140304,248393000.0,17576000.0,Tinggi,3000,Tinggi,5000
Bucceri,-7.427410926731712,109.2416913085969,78311000.0,58812000.0,Rendah,1000,Tinggi,5000
Airlangga,-7.427339164342296,109.24163974816354,262823000.0,37856000.0,Tinggi,3000,Tinggi,5000
Dutamode,-7.427300826671752,109.24125082023885,777144000.0,13520000.0,Tinggi,3000,Sedang,4000
Toko Sepatu Itali,-7.42746098795129,109.24114806256723,229210000.0,4056000.0,Tinggi,3000,Rendah,3000
derela dan Trend Sh,-7.427399693874444,109.24086647976117,514710000.0,16900000.0,Tinggi,3000,Tinggi,5000
Toko Mustika,-7.4068032137009885,109.238591453566,29400000.0,9280000.0,Rendah,1000,Sedang,4000
oko Sepeda Semaran,-7.424496119445515,109.25139305149688,66209000.0,4544000.0,Rendah,1000,Rendah,3000
Sanitas,-7.422510110254639,109.24888721911364,119904000.0,10816000.0,Sedang,2000,Sedang,4000
Toko Langgeng Jaya,-7.427617043257237,109.24978970859698,15043000.0,10440000.0,Rendah,1000,Sedang,4000
Toko Emas Berkah,-7.427426814839658,109.24962769140303,63945000.0,13242000.0,Rendah,1000,Sedang,4000
Artomoro-Hero,-7.424578358459372,109.24857455277603,164150000.0,24850000.0,Sedang,2000,Tinggi,5000
Wisma Batik Solo,-7.427491426788072,109.24709199119756,119904000.0,13520000.0,Sedang,2000,Sedang,4000
Toko Roti Go,-7.427699520902322,109.24694454907466,94924000.0,12074000.0,Rendah,1000,Sedang,4000
Pancawarna,-7.42760244922777,109.243961991403,44964000.0,5308000.0,Rendah,1000,Rendah,3000
Natasha,-7.366818162029096,109.22475052230354,57454000.0,18858000.0,Rendah,1000,Tinggi,5000
Toko Emas Aneka,-7.427458820800348,109.24534113373142,56350000.0,2900000.0,Rendah,1000,Rendah,3000
Sari Utama,-7.42774606867534,109.24464375940364,194844000.0,16900000.0,Tinggi,3000,Tinggi,5000
Toko Obat Berkah,-7.427383071479802,109.24437226626858,186200000.0,4640000.0,Tinggi,3000,Rendah,3000
Toko Kayu Samudra,-7.423386883561782,109.24269341721606,122402000.0,4056000.0,Sedang,2000,Rendah,3000
Kondang Motor,-7.427533332771271,109.25455327791047,236817000.0,6960000.0,Tinggi,3000,Rendah,3000
Obor Bahagia,-7.427752288116996,109.2546366644179,154876000.0,8306000.0,Sedang,2000,Rendah,3000
BRI,-7.427901059786278,109.25469307976115,329373000.0,16606000.0,Tinggi,3000,Tinggi,5000
Chery,-7.429055727627657,109.2546900932537,310188000.0,34188000.0,Tinggi,3000,Tinggi,5000
Kimia Farma,-7.429230737850994,109.2549091951044,315451000.0,16418000.0,Tinggi,3000,Tinggi,5000
TB Surya Indah,-7.431552822535129,109.2569896644179,77438000.0,17576000.0,Rendah,1000,Tinggi,5000
Fotocopy,-7.429659042375048,109.25603038096612,134750000.0,2900000.0,Sedang,2000,Rendah,3000
BPJS,-7.434425181175323,109.26023608460436,338541000.0,6266000.0,Tinggi,3000,Rendah,3000
Apotek Jayanti,-7.435026262633689,109.26072502023884,267286000.0,15354000.0,Tinggi,3000,Sedang,4000
Bebek Goreng,-7.435026262633689,109.26072502023884,294400000.0,19522000.0,Tinggi,3000,Tinggi,5000
Toko Berkah,-7.438098590368435,109.2666654480858,312250000.0,15548000.0,Tinggi,3000,Sedang,4000
TB Jaya,-7.437239679502258,109.26344813816468,29400000.0,3684000.0,Rendah,1000,Rendah,3000
Alun-alun,-7.424180380523481,109.23002748955231,245143000.0,25906000.0,Tinggi,3000,Tinggi,5000
Jl Raga Semangsang,-7.422454462962181,109.23128509140302,122111000.0,22238000.0,Sedang,2000,Tinggi,5000
Alfamart Alun Alun,-7.423875735971626,109.22948682208954,155555000.0,26876000.0,Sedang,2000,Tinggi,5000
Indomart Alun Alun,-7.423297407767332,109.2293570355821,98416000.0,22226000.0,Rendah,1000,Tinggi,5000
Dunia Optik,-7.422805008060143,109.22954852394022,66694000.0,10440000.0,Rendah,1000,Sedang,4000
Wedrink,-7.422585212706034,109.22947930674626,71690000.0,21820000.0,Rendah,1000,Tinggi,5000
Hercules,-7.4218194184123,109.22944173373138,126767000.0,13638000.0,Sedang,2000,Sedang,4000
Soto Pak No,-7.4207285569227075,109.2299192951044,89055000.0,11798000.0,Rendah,1000,Sedang,4000
